,Clase de disolución,Año,Comunidad Autónoma,Número Sociedades
447,Voluntaria,2015,11 Extremadura,212
448,Voluntaria,2015,12 Galicia,1166
449,Voluntaria,2015,"13 Madrid, Comunidad de",4002
450,Voluntaria,2015,"14 Murcia, Región de",117
451,Voluntaria,2015,"15 Navarra, Comunidad Foral de",8
452,Voluntaria,2015,16 País Vasco,987
453,Voluntaria,2015,"17 Rioja, La",136
454,Voluntaria,2015,18 Ceuta,14
455,Voluntaria,2015,19 Melilla,13
456,Otras,2014,01 Andalucía,684
457,Otras,2014,02 Aragón,213
458,Otras,2014,"03 Asturias, Principado de",128
459,Otras,2014,"04 Balears, Illes",125
460,Otras,2014,05 Canarias,84
461,Otras,2014,06 Canarias,57
462,Otras,2014,07 Castilla y León,187
463,Otras,2014,08 Castilla-La Mancha,154
464,Otras,2014,09 Cataluña,980
465,Otras,2014,10 Comunitat Valenciana,719
466,Otras,2014,11 Extremadura,88
467,Otras,2014,12 Galicia,311
468,Otras,2014,"13 Madrid, Comunidad de",695
469,Otras,2014,"14 Murcia, Región de",189
470,Otras,2014,"15 Navarra, Comunidad Foral de",107
471,Otras,2014,16 País Vasco,349
472,Otras,2014,"17 Rioja, La",57
473,Otras,2014,18 Ceuta,3
474,Otras,2014,19 Melilla,1
475,Por fusión,2014,01 Andalucía,201
476,Por fusión,2014,02 Aragón,65
477,Por fusión,2014,"03 Asturias, Principado de",33
478,Por fusión,2014,"04 Balears, Illes",89
479,Por fusión,2014,05 Canarias,90
480,Por fusión,2014,06 Canarias,10
481,Por fusión,2014,07 Castilla y León,64
482,Por fusión,2014,08 Castilla-La Mancha,133
483,Por fusión,2014,09 Cataluña,127
484,Por fusión,2014,10 Comunitat Valenciana,130
485,Por fusión,2014,11 Extremadura,37
486,Por fusión,2014,12 Galicia,86
487,Por fusión,2014,"13 Madrid, Comunidad de",540
488,Por fusión,2014,"14 Murcia, Región de",30
489,Por fusión,2014,"15 Navarra, Comunidad Foral de",40
490,Por fusión,2014,16 País Vasco,183
491,Por fusión,2014,"17 Rioja, La",5
492,Por fusión,2014,18 Ceuta,1
493,Por fusión,2014,19 Melilla,0
494,Voluntaria,2014,01 Andalucía,2287
495,Voluntaria,2014,02 Aragón,568
496,Voluntaria,2014,"03 Asturias, Principado de",306
497,Voluntaria,2014,"04 Balears, Illes",619
498,Voluntaria,2014,05 Canarias,741
499,Voluntaria,2014,06 Canarias,193
500,Voluntaria,2014,07 Castilla y León,851
501,Voluntaria,2014,08 Castilla-La Mancha,265
502,Voluntaria,2014,09 Cataluña,1358
503,Voluntaria,2014,10 Comunitat Valenciana,1104
504,Voluntaria,2014,11 Extremadura,237
505,Voluntaria,2014,12 Galicia,1132
506,Voluntaria,2014,"13 Madrid, Comunidad de",3912
507,Voluntaria,2014,"14 Murcia, Región de",130
508,Voluntaria,2014,"15 Navarra, Comunidad Foral de",13
509,Voluntaria,2014,16 País Vasco,1012
510,Voluntaria,2014,"17 Rioja, La",134
511,Voluntaria,2014,18 Ceuta,6
512,Voluntaria,2014,19 Melilla,11
513,Otras,2013,01 Andalucía,618
514,Otras,2013,02 Aragón,214
515,Otras,2013,"03 Asturias, Principado de",126
516,Otras,2013,"04 Balears, Illes",107
517,Otras,2013,05 Canarias,67
518,Otras,2013,06 Canarias,87
519,Otras,2013,07 Castilla y León,199
520,Otras,2013,08 Castilla-La Mancha,165
521,Otras,2013,09 Cataluña,1267
522,Otras,2013,10 Comunitat Valenciana,787
523,Otras,2013,11 Extremadura,80
524,Otras,2013,12 Galicia,325
525,Otras,2013,"13 Madrid, Comunidad de",737
526,Otras,2013,"14 Murcia, Región de",164
527,Otras,2013,"15 Navarra, Comunidad Foral de",134
528,Otras,2013,16 País Vasco,411
529,Otras,2013,"17 Rioja, La",63
530,Otras,2013,18 Ceuta,0
531,Otras,2013,19 Melilla,0
532,Por fusión,2013,01 Andalucía,313
533,Por fusión,2013,02 Aragón,73
534,Por fusión,2013,"03 Asturias, Principado de",27
535,Por fusión,2013,"04 Balears, Illes",68
536,Por fusión,2013,05 Canarias,74
537,Por fusión,2013,06 Canarias,12
538,Por fusión,2013,07 Castilla y León,81
539,Por fusión,2013,08 Castilla-La Mancha,47
540,Por fusión,2013,09 Cataluña,193
541,Por fusión,2013,10 Comunitat Valenciana,167
542,Por fusión,2013,11 Extremadura,41
543,Por fusión,2013,12 Galicia,106
544,Por fusión,2013,"13 Madrid, Comunidad de",595
545,Por fusión,2013,"14 Murcia, Región de",30
546,Por fusión,2013,"15 Navarra, Comunidad Foral de",32
547,Por fusión,2013,16 País Vasco,136
548,Por fusión,2013,"17 Rioja, La",17
549,Por fusión,2013,18 Ceuta,1
550,Por fusión,2013,19 Melilla,0
551,Voluntaria,2013,01 Andalucía,2753
552,Voluntaria,2013,02 Aragón,678
553,Voluntaria,2013,"03 Asturias, Principado de",381
554,Voluntaria,2013,"04 Balears, Illes",657
555,Voluntaria,2013,05 Canarias,836
556,Voluntaria,2013,06 Canarias,232
557,Voluntaria,2013,07 Castilla y León,1032
558,Voluntaria,2013,08 Castilla-La Mancha,389
559,Voluntaria,2013,09 Cataluña,1558
560,Voluntaria,2013,10 Comunitat Valenciana,1330
561,Voluntaria,2013,11 Extremadura,280
562,Voluntaria,2013,12 Galicia,1506
563,Voluntaria,2013,"13 Madrid, Comunidad de",4286
564,Voluntaria,2013,"14 Murcia, Región de",160
565,Voluntaria,2013,"15 Navarra, Comunidad Foral de",16
