Provincias;Clase de disolución;Periodo;Total
03 Alicante/Alacant;Por fusión;2017M03;0
03 Alicante/Alacant;Por fusión;2017M02;0
03 Alicante/Alacant;Por fusión;2017M01;0
03 Alicante/Alacant;Por fusión;2016M12;0
03 Alicante/Alacant;Por fusión;2016M11;0
03 Alicante/Alacant;Por fusión;2016M10;0
03 Alicante/Alacant;Por fusión;2016M09;0
03 Alicante/Alacant;Por fusión;2016M08;2
03 Alicante/Alacant;Por fusión;2016M07;1
03 Alicante/Alacant;Por fusión;2016M06;0
03 Alicante/Alacant;Por fusión;2016M05;0
03 Alicante/Alacant;Por fusión;2016M04;0
03 Alicante/Alacant;Por fusión;2016M03;0
03 Alicante/Alacant;Por fusión;2016M02;0
03 Alicante/Alacant;Por fusión;2016M01;0
03 Alicante/Alacant;Por fusión;2015M12;0
03 Alicante/Alacant;Por fusión;2015M11;0
03 Alicante/Alacant;Por fusión;2015M10;0
03 Alicante/Alacant;Por fusión;2015M09;0
03 Alicante/Alacant;Por fusión;2015M08;0
03 Alicante/Alacant;Por fusión;2015M07;0
03 Alicante/Alacant;Por fusión;2015M06;0
03 Alicante/Alacant;Por fusión;2015M05;0
03 Alicante/Alacant;Por fusión;2015M04;0
03 Alicante/Alacant;Por fusión;2015M03;0
03 Alicante/Alacant;Por fusión;2015M02;0
03 Alicante/Alacant;Por fusión;2015M01;0
03 Alicante/Alacant;Por fusión;2014M12;0
03 Alicante/Alacant;Por fusión;2014M11;0
03 Alicante/Alacant;Por fusión;2014M10;0
03 Alicante/Alacant;Por fusión;2014M09;0
03 Alicante/Alacant;Por fusión;2014M08;0
03 Alicante/Alacant;Por fusión;2014M07;0
03 Alicante/Alacant;Por fusión;2014M06;0
03 Alicante/Alacant;Por fusión;2014M05;1
